dataset_id,term,dataset,model,rmse,domain,num_variates
ds-5-T,medium,ds-5-T/Short/medium,lstm,0.7825619124670975,"['Networking', 'Application Usage']",19
ds-5-T,medium,ds-5-T/Short/medium,tft,1.0397103511435024,"['Networking', 'Application Usage']",19
ds-5-T,long,ds-5-T/Short/long,persistence,1.0143536518557044,"['Networking', 'Application Usage']",19
ds-5-T,long,ds-5-T/Short/long,seasonalnaive,1.250037539031845,"['Networking', 'Application Usage']",19
ds-5-T,long,ds-5-T/Short/long,lstm,0.9460461168507238,"['Networking', 'Application Usage']",19
ds-5-T,long,ds-5-T/Short/long,tft,1.0018406872248655,"['Networking', 'Application Usage']",19
ds-3-10S,short,ds-3-10S/Short/short,persistence,0.7750479977572119,['Infrastructure'],33
ds-3-10S,short,ds-3-10S/Short/short,seasonalnaive,3.332136344771441,['Infrastructure'],33
ds-3-10S,short,ds-3-10S/Short/short,lstm,4.092114237853767,['Infrastructure'],33
ds-3-10S,short,ds-3-10S/Short/short,tft,6.11015106220777,['Infrastructure'],33
ds-3-10S,medium,ds-3-10S/Short/medium,persistence,2.2468920331576427,['Infrastructure'],33
ds-3-10S,medium,ds-3-10S/Short/medium,seasonalnaive,3.745355148071433,['Infrastructure'],33
ds-3-10S,medium,ds-3-10S/Short/medium,lstm,4.077708969226523,['Infrastructure'],33
ds-3-10S,medium,ds-3-10S/Short/medium,tft,5.153874069987831,['Infrastructure'],33
ds-3-10S,long,ds-3-10S/Short/long,persistence,2.7664126315981337,['Infrastructure'],33
ds-3-10S,long,ds-3-10S/Short/long,seasonalnaive,3.042152825406921,['Infrastructure'],33
ds-3-10S,long,ds-3-10S/Short/long,lstm,4.100196831523952,['Infrastructure'],33
ds-3-10S,long,ds-3-10S/Short/long,tft,5.002104144799554,['Infrastructure'],33
ds-7-10S,short,ds-7-10S/Short/short,persistence,19.969925272557465,['Infrastructure'],88
ds-7-10S,short,ds-7-10S/Short/short,seasonalnaive,67.93438958199881,['Infrastructure'],88
ds-7-10S,short,ds-7-10S/Short/short,lstm,69.3388839925574,['Infrastructure'],88
ds-7-10S,short,ds-7-10S/Short/short,tft,105.56776941564095,['Infrastructure'],88
ds-7-10S,medium,ds-7-10S/Short/medium,persistence,44.27296005457421,['Infrastructure'],88
ds-7-10S,medium,ds-7-10S/Short/medium,seasonalnaive,60.53972399852994,['Infrastructure'],88
ds-7-10S,medium,ds-7-10S/Short/medium,lstm,64.71779609437525,['Infrastructure'],88
ds-7-10S,medium,ds-7-10S/Short/medium,tft,87.08044811807324,['Infrastructure'],88
ds-7-10S,long,ds-7-10S/Short/long,persistence,59.94495683913161,['Infrastructure'],88
ds-7-10S,long,ds-7-10S/Short/long,seasonalnaive,67.9539029732136,['Infrastructure'],88
ds-7-10S,long,ds-7-10S/Short/long,lstm,67.5935535746456,['Infrastructure'],88
ds-7-10S,long,ds-7-10S/Short/long,tft,87.23612911072007,['Infrastructure'],88
ds-12-10S,short,ds-12-10S/Short/short,persistence,0.0,['Infrastructure'],1
ds-12-10S,short,ds-12-10S/Short/short,seasonalnaive,0.0,['Infrastructure'],1
ds-12-10S,short,ds-12-10S/Short/short,lstm,0.0260417817431132,['Infrastructure'],1
ds-12-10S,short,ds-12-10S/Short/short,tft,0.0004442988402474,['Infrastructure'],1
ds-12-10S,medium,ds-12-10S/Short/medium,persistence,0.0,['Infrastructure'],1
ds-12-10S,medium,ds-12-10S/Short/medium,seasonalnaive,0.0,['Infrastructure'],1
ds-12-10S,medium,ds-12-10S/Short/medium,lstm,1.3617532875154104,['Infrastructure'],1
ds-12-10S,medium,ds-12-10S/Short/medium,tft,0.0001816205738468,['Infrastructure'],1
ds-12-10S,long,ds-12-10S/Short/long,persistence,0.0,['Infrastructure'],1
ds-12-10S,long,ds-12-10S/Short/long,seasonalnaive,0.0,['Infrastructure'],1
ds-12-10S,long,ds-12-10S/Short/long,lstm,1.3241328890961477,['Infrastructure'],1
ds-12-10S,long,ds-12-10S/Short/long,tft,6.667346849797828e-05,['Infrastructure'],1
ds-1676-30T,short,ds-1676-30T/Short/short,persistence,0.8000134860504291,['Database'],100
ds-1676-30T,short,ds-1676-30T/Short/short,seasonalnaive,1.0766972732524065,['Database'],100
ds-1676-30T,short,ds-1676-30T/Short/short,lstm,1.128900194620438,['Database'],100
ds-1676-30T,short,ds-1676-30T/Short/short,tft,1.5323935196575786,['Database'],100
ds-1676-30T,medium,ds-1676-30T/Short/medium,persistence,1.3110907260634297,['Database'],100
ds-1676-30T,medium,ds-1676-30T/Short/medium,seasonalnaive,1.3007429350796884,['Database'],100
ds-1676-30T,medium,ds-1676-30T/Short/medium,lstm,1.091950404443301,['Database'],100
ds-1676-30T,medium,ds-1676-30T/Short/medium,tft,1.3589409428342023,['Database'],100
ds-1676-30T,long,ds-1676-30T/Short/long,persistence,1.023395660657359,['Database'],100
ds-1676-30T,long,ds-1676-30T/Short/long,seasonalnaive,1.144048989457085,['Database'],100
ds-1676-30T,long,ds-1676-30T/Short/long,lstm,1.0967737963758373,['Database'],100
ds-1676-30T,long,ds-1676-30T/Short/long,tft,1.2794078898502663,['Database'],100
ds-1675-30T,short,ds-1675-30T/Short/short,persistence,0.1342703447478451,['Database'],1
ds-1675-30T,short,ds-1675-30T/Short/short,seasonalnaive,0.2918554421733129,['Database'],1
ds-1675-30T,short,ds-1675-30T/Short/short,lstm,1.7534030342510627,['Database'],1
ds-1675-30T,short,ds-1675-30T/Short/short,tft,0.4985543810568428,['Database'],1
ds-1675-30T,medium,ds-1675-30T/Short/medium,persistence,0.6846223718761538,['Database'],1
ds-1675-30T,medium,ds-1675-30T/Short/medium,seasonalnaive,0.6892485913466095,['Database'],1
ds-1675-30T,medium,ds-1675-30T/Short/medium,lstm,0.7106512702194961,['Database'],1
ds-1675-30T,medium,ds-1675-30T/Short/medium,tft,0.3716081732322062,['Database'],1
ds-1675-30T,long,ds-1675-30T/Short/long,persistence,0.3305116527915396,['Database'],1
ds-1675-30T,long,ds-1675-30T/Short/long,seasonalnaive,0.3354236072904203,['Database'],1
ds-1675-30T,long,ds-1675-30T/Short/long,lstm,1.515211498575914,['Database'],1
ds-1675-30T,long,ds-1675-30T/Short/long,tft,0.3000217288590001,['Database'],1
ds-1672-30T,short,ds-1672-30T/Short/short,persistence,0.3501967125626867,['Database'],2
ds-1672-30T,short,ds-1672-30T/Short/short,seasonalnaive,0.6685201469738915,['Database'],2
ds-1672-30T,short,ds-1672-30T/Short/short,lstm,1.4336112233551388,['Database'],2
ds-1672-30T,short,ds-1672-30T/Short/short,tft,1.9543581393638645,['Database'],2
ds-1672-30T,medium,ds-1672-30T/Short/medium,persistence,1.5596042993880457,['Database'],2
ds-1672-30T,medium,ds-1672-30T/Short/medium,seasonalnaive,1.582515786567465,['Database'],2
ds-1672-30T,medium,ds-1672-30T/Short/medium,lstm,1.124343982207672,['Database'],2
ds-1672-30T,medium,ds-1672-30T/Short/medium,tft,0.5437221554073514,['Database'],2
ds-1672-30T,long,ds-1672-30T/Short/long,persistence,1.2770748824574956,['Database'],2
ds-1672-30T,long,ds-1672-30T/Short/long,seasonalnaive,1.2611133846163505,['Database'],2
ds-1672-30T,long,ds-1672-30T/Short/long,lstm,1.0362021380390682,['Database'],2
ds-1672-30T,long,ds-1672-30T/Short/long,tft,0.8644926827947624,['Database'],2
ds-1683-H,short,ds-1683-H/Medium/short,persistence,2.6582616730003004,['Database'],1
ds-1683-H,short,ds-1683-H/Medium/short,seasonalnaive,2.731704932835992,['Database'],1
ds-1683-H,short,ds-1683-H/Medium/short,lstm,2.2096965545170466,['Database'],1
ds-1683-H,short,ds-1683-H/Medium/short,tft,2.790712908792168,['Database'],1
ds-1683-H,medium,ds-1683-H/Medium/medium,persistence,1.6156197913023629,['Database'],1
ds-1683-H,medium,ds-1683-H/Medium/medium,seasonalnaive,1.637362206948967,['Database'],1
ds-1683-H,medium,ds-1683-H/Medium/medium,lstm,1.6857510769749298,['Database'],1
ds-1683-H,medium,ds-1683-H/Medium/medium,tft,1.5934933923321584,['Database'],1
ds-1683-H,long,ds-1683-H/Medium/long,persistence,1.832212725751441,['Database'],1
ds-1683-H,long,ds-1683-H/Medium/long,seasonalnaive,1.8360759219389955,['Database'],1
ds-1683-H,long,ds-1683-H/Medium/long,lstm,1.9414920930328372,['Database'],1
